Title,Description,URL
Supply Chain Innovation 2024: A Formula for Thriving in the Age of Disruption,"We congratulate the winner and finalists of this year’s Supply Chain Innovation Award competition, and trust that their examples will motivate others to seek out new ideas and solutions.",https://www.supplychainbrain.com/articles/40576-supply-chain-innovation-2024-a-formula-for-thriving-in-the-age-of-disruption
Amazon Expands Drone Delivery Services into Arizona,"Amazon says that the MK30 drones can fly twice as far as its previous models, are 50% quieter, and can fly in rainy conditions.",https://www.supplychainbrain.com/articles/40629-amazon-expands-drone-delivery-services-into-arizona
Amazon Partners With Online Grocer Jüsto for Deliveries in Mexico,The partnership helps Amazon expand the inventory of fresh products and supermarket staples available to shoppers in Mexico.,https://www.supplychainbrain.com/articles/40624-amazon-partners-with-online-grocer-justo-for-deliveries-in-mexico
A U.S. Air Force Base Automates and Streamlines Asset Tracking,"The automation of munitions management and logistics operations at a U.S. Air Force base, in partnership with SEE ID, saved some 250 man-hours per week, while improving operational readiness.",https://www.supplychainbrain.com/articles/40611-a-us-air-force-base-automates-and-streamlines-asset-tracking
Podcast | Quantum Computing for Logistics: Promise or Reality?,Understand quantum physics? Neither do we. But you might be able to grasp quantum computing.,https://www.supplychainbrain.com/articles/40589-podcast-quantum-computing-for-logistics-promise-or-reality
Factoring Carbon Dioxide Emissions in Transportation,"Regulations, customer expectations, and companies’ sustainability objectives will be the driving force for CO2 emissions tracking and reporting. Discover more about the importance of sustainable transportation practices and how to meet the ever-evolving requirements.",https://www.supplychainbrain.com/articles/40578-factoring-carbon-dioxide-emissions-in-transportation
Boosting Efficiency and Customer Satisfaction: Five Reasons to Use Retail Consolidation,Read this report to find out five important reasons to incorporate retail consolidation into your transportation strategy.,https://www.supplychainbrain.com/articles/40533-boosting-efficiency-and-customer-satisfaction-five-reasons-to-use-retail-consolidation
U.K.’s Budget Prompts Call for a Logistics Minister,Logistics companies will see costs rise because of the increase in minimum wage and contributions employers will need to make to the country’s National Insurance program.,https://www.supplychainbrain.com/articles/40593-uks-budget-prompts-call-for-logistics-minister
Nonprofit to Lease Fleet of EV Semi-Trucks to U.S. Port Operators,The group is looking to purchase as many as 500 class 8 electric semi-trucks over the next three years.,https://www.supplychainbrain.com/articles/40592-nonprofit-to-lease-fleet-of-ev-semi-trucks-to-us-port-operators
USDOT to Plough $2.4B into Rail Network Upgrades,"The projects funded by the USDOT will expand rail connections at ports, replace aging bridges, and add modern locomotives to train fleets.",https://www.supplychainbrain.com/articles/40590-usdot-to-plough-24b-into-rail-network-upgrades
Data Is the Catalyst for True Collaboration in Shipper-Carrier Partnerships,"To navigate the uncertainty surrounding rate negotiations, shippers and carriers are rethinking how they approach their contracts.",https://www.supplychainbrain.com/blogs/1-think-tank/post/40508-data-is-the-catalyst-for-true-collaboration-in-shipper-carrier-partnerships
Oregon Looks to Build West Coast's First Ship-to-Rail Port Terminal,Roughly two million import and export containers are expected to move through the Port of Coos Bay each year once the new terminal is up and running.,https://www.supplychainbrain.com/articles/40540-oregon-looks-to-build-west-coasts-first-ship-to-rail-port-terminal
USPS Proposes End to Dual Shipping Label Policy,Private shippers will typically use dual labels to identify both the USPS and a private mail carrier as possible delivery agents for a parcel.,https://www.supplychainbrain.com/articles/40531-usps-proposes-end-to-dual-shipping-label-policy
Global Inventory Trends and Challenges Shaping SMBs,"Netstock’s new inventory management 2024 benchmark report provides businesses with data needed to measure their performance against industry peers, identify areas for improvement, and set realistic, actionable goals.",https://www.supplychainbrain.com/articles/40514-global-inventory-trends-and-challenges-shaping-smbs
How to Drive Customer Experience Back Into Your Supply Chain,"By integrating advanced strategies and digital technologies, manufacturers can cultivate stronger customer relationships and drive long-term success in the B2B landscape.",https://www.supplychainbrain.com/articles/40504-how-to-drive-customer-experience-back-into-your-supply-chain
XPO-Spinoff GXO Logistics Is Said to Explore Potential Sale,"The transportation and logistics sector tends to see a lot of mergers and acquisitions because it’s highly fragmented, creating an opportunity for rollup plays.",https://www.supplychainbrain.com/articles/40476-xpo-spinoff-gxo-logistics-is-said-to-explore-potential-sale
Why Inventory Management Isn't Just for Christmas,"If you’ve built up a reputation throughout the year for delivering on convenience, you will stand a much stronger chance of winning in the upcoming ""golden quarter.""",https://www.supplychainbrain.com/articles/40404-why-inventory-management-isnt-just-for-christmas
Electrification Is Coming for the Supply Chain — But Not Where You Think,"Electrifying heavy trucks seems like an obvious step to take. But even with incentives, the current state of technology isn’t ready for deployment at large scale.",https://www.supplychainbrain.com/blogs/1-think-tank/post/40405-electrification-is-coming-for-the-supply-chain-but-not-where-you-think
Port Strike Set to Hit U.S. Economy Hard in Coming Days,"A strike at U.S. East and Gulf Coast ports enters its third day, with talks between the ILA and USMX remaining fraught.",https://www.supplychainbrain.com/articles/40444-port-strike-set-to-hit-us-economy-hard-in-coming-days
DSV Wins Approval for €14.3B Sale to Become World's Largest Freight Forwarder,The purchase will make DSV the world’s largest freight-forwarder and turn it into Denmark’s second-largest company by revenue.,https://www.supplychainbrain.com/articles/40441-dsv-wins-approval-for-143b-sale-to-become-worlds-largest-freight-forwarder
Boosting Efficiency and Customer Satisfaction: Five Reasons to Use Retail Consolidation,"If you can be somewhat flexible with planning and lead time, you can leverage a 3PL’s ability to develop the scale needed for executing retail consolidation programs.",https://www.supplychainbrain.com/articles/40439-boosting-efficiency-and-customer-satisfaction-five-reasons-to-use-retail-consolidation
ILA 'Muddying Waters' with Claims of $30K Freight Rates,"The union recently claimed that carriers ""are gouging their customers,"" alleging that it now costs $30,000 to ship a single container. Not so, says freight rate analytics company, Xeneta.",https://www.supplychainbrain.com/articles/40428-ila-ocean-freight-rate-claims
Five Ways to Maximize Workforce Flexibility and Efficiency in High-Volume Hiring,"In today’s dynamic supply chain environment, companies are under constant pressure to quickly and efficiently scale their workforces to meet fluctuating demands. Success hinges on adopting flexible and innovative staffing strategies that meet immediate needs and position companies for long-term success.",https://www.supplychainbrain.com/articles/40415-five-ways-to-maximize-workforce-flexibility-and-efficiency-in-high-volume-hiring
‘Stuck in Neutral’: Why Are Domestic Intermodal Volumes Lagging?,Why isn’t intermodal commanding a bigger share of the domestic freight market?,https://www.supplychainbrain.com/articles/40383-stuck-in-neutral-why-are-domestic-intermodal-volumes-lagging
"Peak Season 2024: Projections, and Last-Minute Advice",It’s that time of year again. The supply chain industry is reading the numbers and making final projections and predictions for peak season 2024.,https://www.supplychainbrain.com/blogs/1-think-tank/post/40369-peak-season-2024-projections-and-last-minute-advice
Watch: Case Study: How Creativity Inc. Slashed Its Parcel Spend,A case study about how Reveel helped Creativity Inc. realize savings in its parcel-shipping program.,https://www.supplychainbrain.com/articles/40346-watch-case-study-how-creativity-inc-slashed-its-parcel-spend
2024 Manufacturing Industry Trends,"The Manufacturing sector is swiftly integrating new technology to fulfill requirements in demand planning, quality control, sustainability, and supply chain objectives.",https://www.supplychainbrain.com/articles/40358-2024-manufacturing-industry-trends
Optimizing Supply Chain Performance with Unified Data,Download the survey report to see key findings and learn more about the data challenges identified by supply chain decision makers around the globe.,https://www.supplychainbrain.com/articles/40357-optimizing-supply-chain-performance-with-unified-data
A ‘Shift-Left’ Strategy Moves Supply Chain Planning Further Upstream,"Find out how common data elements, when standardized, can begin to connect design, production and logistics, and how modular digital twin “avatars” can apply an entire organization’s institutional knowledge and data in seconds to predict disruption, sense market opportunities and solve complex queries.",https://www.supplychainbrain.com/articles/40334-a-shift-left-strategy-moves-supply-chain-planning-further-upstream
How to Choose the Right Route Planning Solution,"Delivery performance can be the competitive advantage companies seek, but fleets are expensive to operate. Getting the greatest productivity and creating the best customer experience are paramount for successful fleet operations.",https://www.supplychainbrain.com/articles/40309-how-to-choose-the-right-route-planning-solution
Brave New World,"Across industries, companies of all sizes are paralyzed in their strategic and investment decision making. In less than a decade, much of the conventional wisdom about global supply chains has been upended.",https://www.supplychainbrain.com/articles/40307-brave-new-world
U.S. Dept. of Commerce Launches Supply Chain Risk Assessment Tool,"SCALE allows the U.S. to weigh supply chain risk across the economy, and then provides an in-depth diagnostic assessment of what's driving those issues.",https://www.supplychainbrain.com/articles/40340-us-dept-of-commerce-unveils-supply-chain-risk-assessment-tool
Improving Cost Absorption in Private Fleet Transportation,Beating inflation by leveraging supply chain costs as a competitive advantage.,https://www.supplychainbrain.com/articles/40338-improving-cost-absorption-in-private-fleet-transportation
Is Christmas Coming Early? Retailers and Consumers Seem to Be Making it So,Consumer shipping habits may be echoing retailers’ more cautious inventory strategies.,https://www.supplychainbrain.com/articles/40326-is-christmas-coming-early-retailers-and-consumers-seem-to-be-making-it-so
"WMS Past, Present and Future: Where Is the Technology Heading?","Learn how today’s WMS has progressed beyond the straitjacket of on-premises software to the greater adaptability of SaaS, and how the future is all about flexible, powerful low-code architecture built for the era of ongoing disruption.",https://www.supplychainbrain.com/articles/40223-wms-past-present-and-future-where-is-the-technology-heading
10 Practical Steps To Reduce Scope 3 Emissions,"This guide emphasizes the strategic role of procurement in achieving environmental goals, offering a step-by-step methodology to easily track and manage scope 3 emissions.",https://www.supplychainbrain.com/articles/40219-10-practical-steps-to-reduce-scope-3-emissions
Walmart Offers Third-Party Fulfillment,"The move means Walmart could redefine the e-commerce logistics landscape, offering an alternative to Amazon's Fulfillment by Amazon service.",https://www.supplychainbrain.com/articles/40270-walmart-offers-third-party-fulfillment
Ikea Trials Online Store for Secondhand Furniture,"The new store is currently up and running in Oslo and Madrid, with the company planning to decide on next steps after December.",https://www.supplychainbrain.com/articles/40262-ikea-trials-online-store-for-secondhand-furniture
Podcast | The Parcel Shipping Headaches That Never Go Away,"Forget about those rare Black Swans and unexpected supply chain disruptions. In parcel shipping, certain headaches are a constant.",https://www.supplychainbrain.com/articles/40244-podcast-the-parcel-shipping-headaches-that-never-go-away
Trio of West Coast Ports Added to DOT Supply Chain Data Platform,The Department of Transportation's FLOW initiative was first launched in 2022 as a response to disruptions brought on by the pandemic.,https://www.supplychainbrain.com/articles/40195-trio-of-west-coast-ports-added-to-dot-supply-chain-data-platform
DICK'S Sporting Goods Plans New 800K-Square-Foot Distribution Center in Fort Worth,The new facility will serve more than 100 DICK's Sporting Goods brick-and-mortar stores across a handful of states.,https://www.supplychainbrain.com/articles/40194-dicks-sporting-goods-plans-new-800k-square-foot-distribution-center-in-fort-worth
Porsche Faces 'Severe Supply Shortage' after Flood at Aluminum Supplier Factory,"Porsche expects the disruptions to affect every vehicle it manufactures, and says that it could be forced to temporarily shut down production for one or more of its vehicle series.",https://www.supplychainbrain.com/articles/40140-porsche-faces-severe-supply-shortage-after-flood-at-aluminum-supplier-factory
Understanding the Total Economic Impact™ of AutoStore Cube Storage,"Discover the proven benefits you could achieve by implementing AutoStore, with Forrester’s latest research study.",https://www.supplychainbrain.com/articles/40105-understanding-the-total-economic-impact-of-autostore-cube-storage
A Guide to Right-sized Packaging for 3PL,"Right-sized packaging automation offers many benefits, including reduced labor and shipping costs, increased throughput, and an overall lower carbon footprint. In this guide, we’ll share some of the challenges 3PLs experience and how an On Demand Packaging® solution can help.",https://www.supplychainbrain.com/articles/40104-a-guide-to-right-sized-packaging-for-3pl
Loss of Coastal Freighter a 'Major Blow' to New Zealand Supply Chain,"Pacific Shipping plans to withdraw from service two container vessels — the MV Moana Chief and MV Takutai Chief — 
which move goods among several ports in New Zealand.",https://www.supplychainbrain.com/articles/40110-loss-of-coastal-freighter-a-major-blow-to-new-zealand-supply-chain
The Impact of Virtual Reality on Supply Chain Management,"VR holds immense potential to transform supply chain management, driving innovation and efficiency.",https://www.supplychainbrain.com/blogs/1-think-tank/post/40101-the-impact-of-virtual-reality-on-supply-chain-management
Air Freight Could Take 'Days or Even Weeks' to Recover from CrowdStrike Crash,Both FedEx and UPS have warned customers to expect delays on package deliveries originally slated for the date of CrowdStrike's outage on July 19.,https://www.supplychainbrain.com/articles/40068-could-take-days-or-even-weeks-for-air-freight-to-recover-from-crowdstrike-crash
Omani Wealth Fund-Backed Port Operator Sets Sights on Asia Ports,The firm with $4 billion of assets is keen to branch out from its Middle East base to play a larger global role as economic growth expands demand for shipping.,https://www.supplychainbrain.com/articles/40060-omani-wealth-fund-backed-port-operator-sets-sights-on-asia-ports
Trucking Industry Gets Boost as Peak Shipping Season Arrives a Month Early,"With concerns over transit delays in the Red Sea and the looming threat of an East Coast and Gulf port longshoremen strike, retailers began restocking shelves in June.",https://www.supplychainbrain.com/articles/40052-trucking-industry-gets-boost-as-peak-shipping-season-arrives-a-month-early
Biden Admin Pledges $5B for Bridges to Shore Up 'Critical' Freight Corridors,"The money will go toward rebuilding, repairing and restoring 13 ""nationally significant"" bridges across 16 states.",https://www.supplychainbrain.com/articles/40049-biden-admin-pledges-5b-for-bridges-to-shore-up-critical-freight-corridors
Warehousing Case Study: JD.COM 3PL Warehouse,"As the largest retailer in China, JD.COM serves 99% of the country, providing unparalleled same-day and next-day delivery. With approximately 600 million active customers, JD.COM faces costly, inefficient, and labor-intensive operations, compounded by high turnover rates. To address these pain points, JD.COM partnered with ForwardX Robotics.",https://www.supplychainbrain.com/articles/40043-warehousing-case-study-jdcom-3pl-warehouse
Forward-Looking Companies Embrace the Chaos,This white paper highlights the impact BANI is having on the supply chain and shows how logistics professionals can manage challenges that defy imagination.,https://www.supplychainbrain.com/articles/39995-forward-looking-companies-embrace-the-chaos
The Shift-Left Logistics Imperative,The logistics industry has witnessed a profound shift in priorities over the past decade. The rules of the game have changed: A service portfolio focused solely on transport and logistics is no longer adequate to satisfy new climate regulations such as decarbonization and the circular economy.,https://www.supplychainbrain.com/articles/39994-the-shift-left-logistics-imperative
Reducing Global Lead Times to Improve Customer Experience at Becton Dickinson,"Product lead time is crucial in the life sciences industry and represents a key consideration for customers’ purchasing decisions. For this reason, BD Biosciences aimed to optimize its global supply and distribution network to reduce delivery lead time to customers and optimize its global inventory.",https://www.supplychainbrain.com/articles/39939-reducing-global-lead-times-to-improve-customer-experience-at-becton-dickinson
'Unprecedented': Can Amazon Beat Temu and Shein at Their Own Game?,"As e-commerce giants Temu and Shein continue to gain traction in the U.S., Amazon is firing back with a low-priced store mirroring the model of their Chinese competitors.",https://www.supplychainbrain.com/articles/40014-unprecedented-can-amazon-beat-temu-and-shein-at-their-own-game
Possible Strike at British Columbia Ports Halted By Canada Labor Board,"The dispute dates back to December, when DP World Canada revealed plans to automate parts of its rail intermodal yard at Vancouver's Centerm Terminal.",https://www.supplychainbrain.com/articles/39998-possible-strike-at-british-columbia-ports-halted-by-canada-labor-board
EV Maker Nikola Sells 72 Hydrogen Semi-Trucks in Q2 of 2024,"The company says it sold 112 hydrogen trucks — assembled in Coolidge, Arizona with a range of 500 miles — in the first half of 2024.",https://www.supplychainbrain.com/articles/39990-ev-maker-nikola-sells-72-hydrogen-semi-trucks-in-q2-of-2024
Buyer’s Guide for Mobile Computers for Warehouse Operations,"DC managers and IT teams have more options than ever when selecting mobile computers for use in their facilities. This Buyer’s Guide describes the key technical and functional considerations to bear in mind when selecting the best device for your mobile application needs, particularly with regard to hands-free mobile applications leveraging voice, scanning and displays.",https://www.supplychainbrain.com/articles/39937-buyers-guide-for-mobile-computers-for-warehouse-operations
"Logistics Resource Management: Optimizing Your Drivers, Fleet and Delivery Routes","In this ebook, Aptean presents a comprehensive guide to leveraging advanced resource management techniques within logistics operations. Discover how strategic resource optimization can significantly enhance efficiency and profitability across your entire fleet and logistics network.",https://www.supplychainbrain.com/articles/39926-logistics-resource-management-optimizing-your-drivers-fleet-and-delivery-routes
Automate and Optimize Production Planning One Step at a Time,"Gain insights into how you can transform your supply chain to be more resilient, responsive, and competitive in today's dynamic market with the whitepaper, 'Automate and Optimize Production Planning One Step at a Time'.",https://www.supplychainbrain.com/articles/39912-automate-and-optimize-production-planning-one-step-at-a-time
Case Study: High Ridge Brands Sees 20% Cost Reduction with Integrated Supply Chain Solution,"High Ridge Brands (HRB) was experiencing supply chain challenges and faced escalating retail compliance charges, communication issues across multiple third-party logistics providers (3PLs), and rising transportation costs, prompting a need for streamlined operations. HRB looked to ODW Logistics for a supply chain solution, aiming to integrate warehousing and transportation management.",https://www.supplychainbrain.com/articles/39911-case-study-high-ridge-brands-sees-20-cost-reduction-with-integrated-supply-chain-solution
HERE Technologies Launches Software to Optimize Vehicle Delivery Fleets,HERE's Fleet Optimization package uses artificial intelligence to analyze historical traffic data to map the most efficient routes for fleet vehicles.,https://www.supplychainbrain.com/articles/39960-here-technologies-launches-software-to-optimize-vehicle-delivery-fleets
Route Resilience: 5 Strategic Priorities for Logistics Excellence in the Next Year,"Our webinar will cover a comprehensive guide for logistics professionals grappling with the stressors of the industry, like the pressure to optimize operations amidst tightening budgets and sustainability concerns.",https://www.supplychainbrain.com/articles/39752-route-resilience-5-strategic-priorities-for-logistics-excellence-in-the-next-year
How to Accelerate AI-Driven Decision Intelligence with Smart Data Fabric,Join the upcoming webinar to learn how a smart data fabric can be used to unify data across disparate sources and accelerate AI-driven decision intelligence.,https://www.supplychainbrain.com/articles/39660-how-to-accelerate-ai-driven-decision-intelligence-with-smart-data-fabric
Driver Safety Among Top Concerns for Trucking Fleet Managers in 2024,Nearly 60% of fleet managers said that their chief concern is related to drivers knowing how to safely and correctly operate their vehicles.,https://www.supplychainbrain.com/articles/39898-driver-safety-among-top-concerns-for-trucking-fleet-managers-in-2024
State of Logistics Report: More Climate-Driven Shipping Disruptions to Come,Kearney's annual State of Logistics report estimates that sea level rise and inland flooding could cost the logistics industry billions annually by 2050.,https://www.supplychainbrain.com/articles/39897-recent-climate-driven-shipping-disruptions-are-only-the-beginning
Peak Shipping Season Arrives Early at U.S. Ports,"The National Retail Federation projects more than 2.1 million TEUs in imports to the U.S. in each of June, June and August.",https://www.supplychainbrain.com/articles/39870-peak-shipping-season-arrives-early-at-us-ports
Business impact of Digital Twins,A variety of Digital Twins are being created and leveraged across industries to improve business performance. Connect with two senior Deloitte Consulting leaders that have been helping their clients in this area for many years to learn more about the various types and uses of Digital Twins and the business impact they can have across an enterprise.,https://www.supplychainbrain.com/articles/39575-business-impact-of-digital-twins
Amazon Planning for 16M Square Feet of New Warehouse Spaces in 2024,Supply chain consulting firm MWPVL International estimates that Amazon is planning for at least 170 new distribution facilities in the U.S. alone.,https://www.supplychainbrain.com/articles/39771-amazon-planning-for-16m-square-feet-of-new-warehouse-spaces-in-2024
Podcast | Reining in Those Rising Logistics Costs,Total logistics costs rose by as much as 80% over the past year. Are shippers in for more of the same in the coming months?,https://www.supplychainbrain.com/articles/39720-podcast-reining-in-those-rising-logistics-costs
The Role of AI in Logistics: Getting Beyond Hope and Hype,The actual experience of many logistics and other business executives suggests that artificial intelligence remains more a subject of hope and hype than a practical tool in everyday use.,https://www.supplychainbrain.com/articles/39636-the-role-of-ai-in-logistics-getting-beyond-hope-and-hype
C.H. Robinson Introduces AI Technology to Automate Email Interactions,"Generative artificial intelligence now reads and replies to 2,000 emailed quote requests a day.",https://www.supplychainbrain.com/articles/39662-ch-robinson-introduces-ai-technology-to-automate-email-interactions
How to Conquer Scope 3 Emissions and Steer to a Sustainable Future,Supply chains need to take four key steps to become transparent and accountable for their carbon emissions.,https://www.supplychainbrain.com/articles/39602-how-to-conquer-scope-3-emissions-and-steer-to-a-sustainable-future
Decarbonizing Transportation Supply Chains,"With transportation contributing to 16.2% of global emissions, embracing sustainability in all transportation modes is essential for long-term success and a greener future.",https://www.supplychainbrain.com/articles/39592-decarbonizing-transportation-supply-chains
Watch: Introducing the New and Improved DAT iQ Benchmark,"Samuel Parker, director of shipper segment with DAT, describes the company's iQ platform, which hosts the new and improved DAT iQ Benchmark, an AI-powered business tool for shippers.",https://www.supplychainbrain.com/articles/39546-watch-introducing-the-dat-iq-platform
"Transports Index Tumbles, Signaling Risks for U.S. Stock Market","JB Hunt fired the first warning shots during its quarterly results, saying demand was weak, sending shares of the whole group lower. Then Knight-Swift followed.",https://www.supplychainbrain.com/articles/39533-transports-index-tumbles-signaling-risks-for-us-stock-market
Watch: How Automated Trucking Will Impact Supply Chains,"Improved use of tires and braking systems, not to mention safety, are among the gains expected when automated trucking is widely implemented in U.S. supply chains, says Peter Coratola Jr., CEO and founder of Ease Logistics.",https://www.supplychainbrain.com/articles/39408-watch-how-automated-trucking-will-impact-supply-chains
Vital Baltimore Bridge Collapses After Being Struck by Ship,The early morning disaster at the Francis Scott Key Bridge will cause huge disruption — both for shipping at one of the busiest ports on the U.S. East Coast and on the roads.,https://www.supplychainbrain.com/articles/39360-vital-baltimore-bridge-collapses-after-being-struck-by-ship
AI Takes Center Stage on List of 2024's Top Supply Chain Tech Trends,AI plays a prominent role in at least four of the eight supply chain tech trends highlighted by research firm Gartner.,https://www.supplychainbrain.com/articles/39312-supply-chain-tech-trends
Biden Admin Supply Chain Initiative Starts Sharing Critical Data With Freight Hubs,The Biden Administration's FLOW initiative was first launched in March of 2022 as a response to supply chain disruptions brought on by the pandemic.,https://www.supplychainbrain.com/articles/39310-biden-admin-supply-chain-initiative-starts-sharing-critical-data-with-freight-hubs
Topo Offers Task Management Solution for Supply Chain Operations,"The Task Manager, a supply chain-focused project management tool, offers a product- and supplier-centric approach.",https://www.supplychainbrain.com/articles/39297-topo-unveils-task-management-solution-for-supply-chain-operations
Walmart to Sell AI Truck Routing Tool to Other Companies,"Walmart says that using the software to optimize driving routes, pack trailers efficiently and minimize miles traveled has allowed it to avoid generating 94 million pounds of CO2.",https://www.supplychainbrain.com/articles/39286-walmart-to-sell-ai-truck-routing-tool-to-other-companies
Chances of a Weather-Roiling La Niña This Year Are Now Above 80%,"La Niña can lead to droughts in South America and California, and more rain across parts of Indonesia and Australia.",https://www.supplychainbrain.com/articles/39279-chances-of-a-weather-roiling-la-nina-this-year-are-now-above-80
